1;Fermeture;Usine Doniambo;Travail;Creusage;Droit;;;;;;;;;;;;;
2;Impossible;Indispensable;Gestion;Enjeu;Concurrence;Rationalisation;Entente;Difficile;;;;;;;;;;
4;Rien;Après-nickel;Pollution;Activité;Épuisement;Rebondissement;;;;;;;;;;;;
5;Montagne;Poisson;Dépotoir;Répartition;Rendement;;;;;;;;;;;;;
6;Extraction;Tradition;Repère;Action;Adaptation;Pauvre;;;;;;;;;;;;
7;Arrêt;Nickel;Rivière;Travail;;;;;;;;;;;;;;
8;Environnement;Ressource;Avenir;Pollution;Nouvelle-Calédonie;Vision;;;;;;;;;;;;
9;Pollution;Destruction;Bien - Mal;;;;;;;;;;;;;;;
10;Après-Nickel;Flou;Fermeture;;;;;;;;;;;;;;;
11;Destruction;Nature;Industrie;;;;;;;;;;;;;;;
12;Montagne;Pollution;Après-mine;Projet;;;;;;;;;;;;;;
13;?;;;;;;;;;;;;;;;;;
14;Pollution;International;Économie;Politique;;;;;;;;;;;;;;
15;indépendance;Fournisseur;Conflit;;;;;;;;;;;;;;;
16;Pollution;Végétation;;;;;;;;;;;;;;;;
17;Reboisement;Train;Tourisme;;;;;;;;;;;;;;;
19;Thio;Perenne;Environnement;Ressource;Lagon;Balance;;;;;;;;;;;;
20;Argent;Pollution;;;;;;;;;;;;;;;;
21;Inchangé;Arrêt;Adaptation;Pollution;Emploi;Jeune;;;;;;;;;;;;
22;Après-Mine;Épuisable;Fin;Enfant;Projet;Évolution;Image;;;;;;;;;;;
23;Impact;Bénéfique;Durable;Abîmé;;;;;;;;;;;;;;
24;Déchet;Enfant;;;;;;;;;;;;;;;;
25;Impact;Pollution;Travail;;;;;;;;;;;;;;;
26;Non-renouvelable;Économie;Énergie renouvelable;Nickel;Ressource;;;;;;;;;;;;;
27;Épuisable;Océan;;;;;;;;;;;;;;;;
28;Inchangé;Problème;Pollution;;;;;;;;;;;;;;;
29;Technologie;Demandé;Épuisable;développement;Ressource;Retombée;;;;;;;;;;;;
30;Incertitude;Demande;Bénéfice;Crise;Diversification;Ressource;Montagne;Fin;Environnement;;;;;;;;;
31;Incertain;Âge d’or;Argent;Agriculture;Pollution;Après-Nickel;Enfant;Emploi;Innovation;;;;;;;;;
32;Province Sud;Évolution;Argent;Projet;Politique ;Amélioration;Environnement;;;;;;;;;;;
33;Épuisable;Épuisement;Développement;Destruction;Paysage;Forêt;;;;;;;;;;;;
