position;arithmetique;inverse;pos_1;pos_3;pos_6;pos_3_arith;pos_6_arith;exponentielle
1;1;1;1;1;1;1;1;1.00
2;0.94;0.5;0;1;1;0.5;0.83;0.37
3;0.88;0.33;0;1;1;0.33;0.67;0.14
4;0.82;0.25;0;0;1;0;0.5;0.05
5;0.76;0.2;0;0;1;0;0.33;0.02
6;0.71;0.17;0;0;1;0;0.17;0.01
7;0.65;0.14;0;0;0;0;0;0.00
8;0.59;0.13;0;0;0;0;0;0.00
9;0.53;0.11;0;0;0;0;0;0.00
10;0.47;0.1;0;0;0;0;0;0.00
11;0.41;0.09;0;0;0;0;0;0.00
12;0.35;0.08;0;0;0;0;0;0.00
13;0.29;0.08;0;0;0;0;0;0.00
14;0.24;0.07;0;0;0;0;0;0.00
15;0.18;0.07;0;0;0;0;0;0.00
16;0.12;0.06;0;0;0;0;0;0.00
17;0.06;0.06;0;0;0;0;0;0.00
